v2	Ix(U1:DRAIN)	Ix(U5:VDD)	Ix(U6:VDD)	Ix(U7:VDD)	Ix(U8:VDD)	Ix(U9:VDD)
1.560000000000001e+000	3.133998e-005	-7.277773e-005	-3.133916e-005	-1.457538e-004	-2.753942e-004	-4.977750e-004
1.570000000000001e+000	3.212493e-005	-7.431586e-005	-3.212409e-005	-1.485902e-004	-2.803658e-004	-5.061046e-004
1.580000000000001e+000	3.291863e-005	-7.586717e-005	-3.291778e-005	-1.514461e-004	-2.853640e-004	-5.144668e-004
1.590000000000001e+000	3.372104e-005	-7.743160e-005	-3.372018e-005	-1.543213e-004	-2.903882e-004	-5.228611e-004
1.600000000000001e+000	3.453212e-005	-7.900903e-005	-3.453125e-005	-1.572156e-004	-2.954381e-004	-5.312867e-004
1.610000000000001e+000	3.535184e-005	-8.059938e-005	-3.535096e-005	-1.601289e-004	-3.005133e-004	-5.397430e-004
1.620000000000001e+000	3.618015e-005	-8.220254e-005	-3.617926e-005	-1.630607e-004	-3.056133e-004	-5.482295e-004
1.630000000000001e+000	3.701701e-005	-8.381843e-005	-3.701611e-005	-1.660110e-004	-3.107378e-004	-5.567455e-004
1.640000000000001e+000	3.786238e-005	-8.544695e-005	-3.786147e-005	-1.689795e-004	-3.158864e-004	-5.652903e-004
1.650000000000001e+000	3.871622e-005	-8.708800e-005	-3.871531e-005	-1.719661e-004	-3.210588e-004	-5.738636e-004
1.660000000000001e+000	3.957850e-005	-8.874148e-005	-3.957758e-005	-1.749704e-004	-3.262544e-004	-5.824646e-004
1.670000000000001e+000	4.044917e-005	-9.040731e-005	-4.044823e-005	-1.779923e-004	-3.314730e-004	-5.910927e-004
1.680000000000001e+000	4.132819e-005	-9.208538e-005	-4.132725e-005	-1.810317e-004	-3.367143e-004	-5.997476e-004
1.690000000000001e+000	4.221552e-005	-9.377560e-005	-4.221457e-005	-1.840881e-004	-3.419778e-004	-6.084285e-004
1.700000000000001e+000	4.311113e-005	-9.547787e-005	-4.311017e-005	-1.871616e-004	-3.472632e-004	-6.171350e-004
1.710000000000001e+000	4.401498e-005	-9.719210e-005	-4.401401e-005	-1.902518e-004	-3.525701e-004	-6.258666e-004
1.720000000000001e+000	4.492702e-005	-9.891819e-005	-4.492605e-005	-1.933585e-004	-3.578983e-004	-6.346227e-004
1.730000000000001e+000	4.584723e-005	-1.006560e-004	-4.584625e-005	-1.964816e-004	-3.632473e-004	-6.434028e-004
1.740000000000001e+000	4.677555e-005	-1.024056e-004	-4.677457e-005	-1.996209e-004	-3.686168e-004	-6.522065e-004
1.750000000000001e+000	4.771196e-005	-1.041666e-004	-4.771096e-005	-2.027762e-004	-3.740065e-004	-6.610331e-004
1.760000000000001e+000	4.865641e-005	-1.059392e-004	-4.865541e-005	-2.059472e-004	-3.794161e-004	-6.698824e-004
1.770000000000001e+000	4.960887e-005	-1.077232e-004	-4.960786e-005	-2.091337e-004	-3.848452e-004	-6.787538e-004
1.780000000000001e+000	5.056930e-005	-1.095184e-004	-5.056828e-005	-2.123357e-004	-3.902936e-004	-6.876467e-004
1.790000000000001e+000	5.153765e-005	-1.113248e-004	-5.153663e-005	-2.155529e-004	-3.957609e-004	-6.965608e-004
1.800000000000001e+000	5.251390e-005	-1.131423e-004	-5.251287e-005	-2.187850e-004	-4.012468e-004	-7.054957e-004
1.810000000000001e+000	5.349800e-005	-1.149708e-004	-5.349697e-005	-2.220320e-004	-4.067510e-004	-7.144508e-004
1.820000000000001e+000	5.448992e-005	-1.168103e-004	-5.448889e-005	-2.252937e-004	-4.122732e-004	-7.234258e-004
1.830000000000001e+000	5.548962e-005	-1.186605e-004	-5.548857e-005	-2.285698e-004	-4.178130e-004	-7.324201e-004
1.840000000000001e+000	5.649705e-005	-1.205214e-004	-5.649601e-005	-2.318601e-004	-4.233704e-004	-7.414335e-004
1.850000000000001e+000	5.751219e-005	-1.223930e-004	-5.751114e-005	-2.351646e-004	-4.289448e-004	-7.504654e-004
1.860000000000001e+000	5.853499e-005	-1.242751e-004	-5.853394e-005	-2.384830e-004	-4.345361e-004	-7.595156e-004
1.870000000000001e+000	5.956542e-005	-1.261676e-004	-5.956436e-005	-2.418151e-004	-4.401440e-004	-7.685835e-004
1.880000000000001e+000	6.060343e-005	-1.280705e-004	-6.060237e-005	-2.451608e-004	-4.457681e-004	-7.776688e-004
1.890000000000002e+000	6.164900e-005	-1.299837e-004	-6.164793e-005	-2.485199e-004	-4.514082e-004	-7.867711e-004
1.900000000000002e+000	6.270208e-005	-1.319070e-004	-6.270101e-005	-2.518922e-004	-4.570641e-004	-7.958901e-004
1.910000000000002e+000	6.376263e-005	-1.338404e-004	-6.376156e-005	-2.552776e-004	-4.627355e-004	-8.050253e-004
1.920000000000002e+000	6.483062e-005	-1.357837e-004	-6.482954e-005	-2.586758e-004	-4.684220e-004	-8.141764e-004
1.930000000000002e+000	6.590601e-005	-1.377370e-004	-6.590493e-005	-2.620868e-004	-4.741235e-004	-8.233430e-004
1.940000000000002e+000	6.698876e-005	-1.397000e-004	-6.698768e-005	-2.655104e-004	-4.798398e-004	-8.325248e-004
1.950000000000002e+000	6.807884e-005	-1.416728e-004	-6.807774e-005	-2.689464e-004	-4.855704e-004	-8.417214e-004
1.960000000000002e+000	6.917619e-005	-1.436552e-004	-6.917510e-005	-2.723946e-004	-4.913153e-004	-8.509325e-004
1.970000000000002e+000	7.028080e-005	-1.456471e-004	-7.027970e-005	-2.758549e-004	-4.970742e-004	-8.601577e-004
1.980000000000002e+000	7.139261e-005	-1.476485e-004	-7.139151e-005	-2.793271e-004	-5.028467e-004	-8.693968e-004
1.990000000000002e+000	7.251160e-005	-1.496592e-004	-7.251050e-005	-2.828111e-004	-5.086327e-004	-8.786493e-004
2.000000000000001e+000	7.363772e-005	-1.516792e-004	-7.363662e-005	-2.863067e-004	-5.144319e-004	-8.879150e-004
2.010000000000001e+000	7.477093e-005	-1.537084e-004	-7.476983e-005	-2.898138e-004	-5.202442e-004	-8.971936e-004
2.020000000000001e+000	7.591122e-005	-1.557468e-004	-7.591010e-005	-2.933322e-004	-5.260693e-004	-9.064847e-004
2.030000000000001e+000	7.705851e-005	-1.577941e-004	-7.705740e-005	-2.968618e-004	-5.319068e-004	-9.157880e-004
2.040000000000001e+000	7.821278e-005	-1.598504e-004	-7.821168e-005	-3.004024e-004	-5.377568e-004	-9.251033e-004
2.050000000000000e+000	7.937401e-005	-1.619155e-004	-7.937290e-005	-3.039539e-004	-5.436187e-004	-9.344301e-004
2.060000000000000e+000	8.054214e-005	-1.639894e-004	-8.054102e-005	-3.075160e-004	-5.494927e-004	-9.437684e-004
2.070000000000000e+000	8.171714e-005	-1.660719e-004	-8.171603e-005	-3.110888e-004	-5.553783e-004	-9.531176e-004
2.080000000000000e+000	8.289897e-005	-1.681631e-004	-8.289786e-005	-3.146720e-004	-5.612753e-004	-9.624777e-004
2.089999999999999e+000	8.408759e-005	-1.702628e-004	-8.408648e-005	-3.182656e-004	-5.671837e-004	-9.718483e-004
2.099999999999999e+000	8.528298e-005	-1.723709e-004	-8.528186e-005	-3.218693e-004	-5.731030e-004	-9.812290e-004
2.109999999999999e+000	8.648508e-005	-1.744874e-004	-8.648396e-005	-3.254830e-004	-5.790332e-004	-9.906198e-004
