v2	Ix(U1:DRAIN)	Ix(U5:VDD)	Ix(U6:VDD)	Ix(U7:VDD)	Ix(U8:VDD)	Ix(U9:VDD)
1.100000000000001e+000	1.259867e-007	-2.597193e-007	-1.259858e-007	-5.262983e-007	-1.057702e-006	-2.111062e-006
1.110000000000001e+000	1.314231e-007	-2.707722e-007	-1.314221e-007	-5.484887e-007	-1.101898e-006	-2.198346e-006
1.120000000000001e+000	1.369803e-007	-2.820651e-007	-1.369793e-007	-5.711520e-007	-1.147016e-006	-2.287400e-006
1.130000000000001e+000	1.426583e-007	-2.935976e-007	-1.426573e-007	-5.942873e-007	-1.193052e-006	-2.378217e-006
1.140000000000001e+000	1.484570e-007	-3.053695e-007	-1.484561e-007	-6.178938e-007	-1.240005e-006	-2.470790e-006
1.150000000000001e+000	1.543764e-007	-3.173805e-007	-1.543754e-007	-6.419705e-007	-1.287872e-006	-2.565113e-006
1.160000000000001e+000	1.604163e-007	-3.296304e-007	-1.604153e-007	-6.665165e-007	-1.336651e-006	-2.661179e-006
1.170000000000001e+000	1.665767e-007	-3.421187e-007	-1.665757e-007	-6.915309e-007	-1.386338e-006	-2.758982e-006
1.180000000000001e+000	1.728574e-007	-3.548451e-007	-1.728564e-007	-7.170128e-007	-1.436931e-006	-2.858513e-006
1.190000000000001e+000	1.792584e-007	-3.678093e-007	-1.792574e-007	-7.429609e-007	-1.488427e-006	-2.959767e-006
1.200000000000001e+000	1.857795e-007	-3.810109e-007	-1.857784e-007	-7.693744e-007	-1.540824e-006	-3.062737e-006
1.210000000000001e+000	1.924206e-007	-3.944495e-007	-1.924195e-007	-7.962521e-007	-1.594117e-006	-3.167414e-006
1.220000000000001e+000	1.991815e-007	-4.081247e-007	-1.991805e-007	-8.235930e-007	-1.648306e-006	-3.273793e-006
1.230000000000001e+000	2.060623e-007	-4.220362e-007	-2.060612e-007	-8.513958e-007	-1.703386e-006	-3.381867e-006
1.240000000000001e+000	2.130626e-007	-4.361835e-007	-2.130616e-007	-8.796596e-007	-1.759354e-006	-3.491627e-006
1.250000000000001e+000	2.201824e-007	-4.505661e-007	-2.201813e-007	-9.083832e-007	-1.816209e-006	-3.603068e-006
1.260000000000001e+000	2.274215e-007	-4.651837e-007	-2.274204e-007	-9.375653e-007	-1.873945e-006	-3.716182e-006
1.270000000000001e+000	2.347798e-007	-4.800359e-007	-2.347787e-007	-9.672049e-007	-1.932562e-006	-3.830961e-006
1.280000000000001e+000	2.422570e-007	-4.951220e-007	-2.422560e-007	-9.973005e-007	-1.992054e-006	-3.947400e-006
1.290000000000001e+000	2.498531e-007	-5.104419e-007	-2.498521e-007	-1.027851e-006	-2.052421e-006	-4.065490e-006
1.300000000000001e+000	2.575680e-007	-5.259948e-007	-2.575669e-007	-1.058856e-006	-2.113657e-006	-4.185224e-006
1.310000000000001e+000	2.654013e-007	-5.417804e-007	-2.654002e-007	-1.090312e-006	-2.175761e-006	-4.306596e-006
1.320000000000001e+000	2.733530e-007	-5.577981e-007	-2.733519e-007	-1.122221e-006	-2.238729e-006	-4.429598e-006
1.330000000000001e+000	2.814228e-007	-5.740476e-007	-2.814217e-007	-1.154579e-006	-2.302558e-006	-4.554223e-006
1.340000000000001e+000	2.896106e-007	-5.905283e-007	-2.896095e-007	-1.187385e-006	-2.367244e-006	-4.680464e-006
1.350000000000001e+000	2.979162e-007	-6.072397e-007	-2.979151e-007	-1.220640e-006	-2.432786e-006	-4.808314e-006
1.360000000000001e+000	3.063395e-007	-6.241813e-007	-3.063384e-007	-1.254340e-006	-2.499179e-006	-4.937765e-006
1.370000000000001e+000	3.148802e-007	-6.413525e-007	-3.148791e-007	-1.288485e-006	-2.566420e-006	-5.068812e-006
1.380000000000001e+000	3.235382e-007	-6.587530e-007	-3.235371e-007	-1.323074e-006	-2.634507e-006	-5.201446e-006
1.390000000000001e+000	3.323132e-007	-6.763822e-007	-3.323121e-007	-1.358104e-006	-2.703437e-006	-5.335659e-006
1.400000000000001e+000	3.412052e-007	-6.942395e-007	-3.412040e-007	-1.393576e-006	-2.773205e-006	-5.471447e-006
