v2	Ix(U1:DRAIN)	Ix(U5:VDD)	Ix(U6:VDD)	Ix(U7:VDD)	Ix(U8:VDD)	Ix(U9:VDD)
1.380000000000001e+000	4.817766e-006	-1.050872e-005	-4.817703e-006	-2.134419e-005	-4.192089e-005	-8.025521e-005
1.390000000000001e+000	4.963067e-006	-1.080393e-005	-4.963003e-006	-2.191713e-005	-4.300320e-005	-8.224494e-005
1.400000000000001e+000	5.110530e-006	-1.110297e-005	-5.110465e-006	-2.249684e-005	-4.409720e-005	-8.425365e-005
1.410000000000001e+000	5.260151e-006	-1.140582e-005	-5.260085e-006	-2.308329e-005	-4.520279e-005	-8.628114e-005
1.420000000000001e+000	5.411924e-006	-1.171246e-005	-5.411857e-006	-2.367644e-005	-4.631989e-005	-8.832721e-005
1.430000000000001e+000	5.565844e-006	-1.202288e-005	-5.565776e-006	-2.427626e-005	-4.744840e-005	-9.039162e-005
1.440000000000001e+000	5.721905e-006	-1.233706e-005	-5.721836e-006	-2.488270e-005	-4.858822e-005	-9.247420e-005
1.450000000000001e+000	5.880103e-006	-1.265498e-005	-5.880033e-006	-2.549573e-005	-4.973928e-005	-9.457472e-005
1.460000000000001e+000	6.040431e-006	-1.297663e-005	-6.040360e-006	-2.611531e-005	-5.090148e-005	-9.669300e-005
1.470000000000001e+000	6.202885e-006	-1.330199e-005	-6.202813e-006	-2.674141e-005	-5.207472e-005	-9.882883e-005
1.480000000000001e+000	6.367457e-006	-1.363105e-005	-6.367385e-006	-2.737398e-005	-5.325893e-005	-1.009820e-004
1.490000000000001e+000	6.534144e-006	-1.396378e-005	-6.534071e-006	-2.801300e-005	-5.445399e-005	-1.031523e-004
1.500000000000001e+000	6.702938e-006	-1.430018e-005	-6.702864e-006	-2.865842e-005	-5.565985e-005	-1.053397e-004
1.510000000000001e+000	6.873834e-006	-1.464021e-005	-6.873759e-006	-2.931020e-005	-5.687638e-005	-1.075437e-004
1.520000000000001e+000	7.046826e-006	-1.498388e-005	-7.046750e-006	-2.996832e-005	-5.810352e-005	-1.097644e-004
1.530000000000001e+000	7.221909e-006	-1.533116e-005	-7.221832e-006	-3.063273e-005	-5.934117e-005	-1.120014e-004
1.540000000000001e+000	7.399075e-006	-1.568204e-005	-7.398998e-006	-3.130340e-005	-6.058925e-005	-1.142547e-004
1.550000000000001e+000	7.578320e-006	-1.603651e-005	-7.578241e-006	-3.198028e-005	-6.184766e-005	-1.165239e-004
1.560000000000001e+000	7.759637e-006	-1.639453e-005	-7.759557e-006	-3.266335e-005	-6.311632e-005	-1.188090e-004
1.570000000000001e+000	7.943019e-006	-1.675611e-005	-7.942939e-006	-3.335257e-005	-6.439514e-005	-1.211098e-004
1.580000000000001e+000	8.128462e-006	-1.712123e-005	-8.128381e-006	-3.404789e-005	-6.568404e-005	-1.234260e-004
